Meta,Angle,CurLapTime,Damage,DistFromStart,DistRaced,Focus2,Fuel,Gear2,LastLapTime,Opponents,RacePos,RPM,Speed X,Speed Y,Speed Z,Track,TrackPos,WheelSpinVel,Z
0,-0.0140545,-0.982,0,4183.37,0,-5,94,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,942.478,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.962,0,4183.37,0,-5,94,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,942.478,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.942,0,4183.37,0,-5,94,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,942.478,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.922,0,4183.37,0,-5,94,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,942.478,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.902,0,4183.37,0,-5,94,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,1100.33,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.882,0,4183.37,0,-5,93.9999,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,1263.95,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.862,0,4183.37,0,-5,93.9998,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,1432.32,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.842,0,4183.37,0,-5,93.9997,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,1605.57,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.822,0,4183.37,0,-5,93.9997,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,1783.85,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.802,0,4183.37,0,-5,93.9996,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,1967.31,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.782,0,4183.37,0,-5,93.9995,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,2156.5,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.762,0,4183.37,0,-5,93.9994,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,2359.56,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.742,0,4183.37,0,-5,93.9993,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,2580.78,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.722,0,4183.37,0,-5,93.9991,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,2821.75,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.702,0,4183.37,0,-5,93.9989,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,3084.25,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.682,0,4183.37,0,-5,93.9987,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,3368.7,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.662,0,4183.37,0,-5,93.9985,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,3672.92,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.642,0,4183.37,0,-5,93.9982,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,3998.1,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.622,0,4183.37,0,-5,93.9978,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,4345.29,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.602,0,4183.37,0,-5,93.9974,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,4712.09,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.582,0,4183.37,0,-5,93.997,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,5098.62,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.562,0,4183.37,0,-5,93.9965,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,5504.72,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.542,0,4183.37,0,-5,93.9959,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,5926.31,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.522,0,4183.37,0,-5,93.9953,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,6363.39,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.502,0,4183.37,0,-5,93.9946,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,6812.3,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.482,0,4183.37,0,-5,93.9938,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,7270.74,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.462,0,4183.37,0,-5,93.993,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,7738.29,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.442,0,4183.37,0,-5,93.9921,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,8213.97,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.422,0,4183.37,0,-5,93.9911,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,8690.56,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
0,-0.0140545,-0.402,0,4183.37,0,-5,93.9902,0,0,20.0034 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 10.7761 200.0 30.2678,1,9139.95,-0.00176023,0.00220825,0.00290017,4.00039 4.12597 4.58207 5.57899 7.81064 11.2615 14.686 21.3366 39.5461 200.0 109.369 50.0656 32.624 24.3324 16.4009 11.4761 9.3141 8.31434 8.00079,0.333334,0.0 0.0 0.0 0.0,0.345268
